"TAX","GEO","TIME","UNIT","Value"
"Energy taxes","Lithuania","2009","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,31"
"Energy taxes","Lithuania","2009","Percentage of gross domestic product (GDP)","1,91"
"Energy taxes","Lithuania","2010","Million euro","492,23"
"Energy taxes","Lithuania","2010","Million units of national currency","492,23"
"Energy taxes","Lithuania","2010","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,13"
"Energy taxes","Lithuania","2010","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,21"
"Energy taxes","Lithuania","2010","Percentage of gross domestic product (GDP)","1,76"
"Energy taxes","Lithuania","2011","Million euro","497,11"
"Energy taxes","Lithuania","2011","Million units of national currency","497,11"
"Energy taxes","Lithuania","2011","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,77"
"Energy taxes","Lithuania","2011","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,84"
"Energy taxes","Lithuania","2011","Percentage of gross domestic product (GDP)","1,59"
"Energy taxes","Lithuania","2012","Million euro","515,93"
"Energy taxes","Lithuania","2012","Million units of national currency","515,93"
"Energy taxes","Lithuania","2012","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,66"
"Energy taxes","Lithuania","2012","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,74"
"Energy taxes","Lithuania","2012","Percentage of gross domestic product (GDP)","1,55"
"Energy taxes","Lithuania","2013","Million euro","537,71"
"Energy taxes","Lithuania","2013","Million units of national currency","537,71"
"Energy taxes","Lithuania","2013","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,64"
"Energy taxes","Lithuania","2013","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,7"
"Energy taxes","Lithuania","2013","Percentage of gross domestic product (GDP)","1,54"
"Energy taxes","Lithuania","2014","Million euro","580,48"
"Energy taxes","Lithuania","2014","Million units of national currency","580,48"
"Energy taxes","Lithuania","2014","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,71"
"Energy taxes","Lithuania","2014","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,78"
"Energy taxes","Lithuania","2014","Percentage of gross domestic product (GDP)","1,59"
"Energy taxes","Lithuania","2015","Million euro","622,94"
"Energy taxes","Lithuania","2015","Million units of national currency","622,94"
"Energy taxes","Lithuania","2015","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,7"
"Energy taxes","Lithuania","2015","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,76"
"Energy taxes","Lithuania","2015","Percentage of gross domestic product (GDP)","1,66"
"Energy taxes","Lithuania","2016","Million euro","677,26"
"Energy taxes","Lithuania","2016","Million units of national currency","677,26"
"Energy taxes","Lithuania","2016","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,81"
"Energy taxes","Lithuania","2016","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,87"
"Energy taxes","Lithuania","2016","Percentage of gross domestic product (GDP)","1,74"
"Energy taxes","Lithuania","2017","Million euro","731,92"
"Energy taxes","Lithuania","2017","Million units of national currency","731,92"
"Energy taxes","Lithuania","2017","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,82"
"Energy taxes","Lithuania","2017","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,88"
"Energy taxes","Lithuania","2017","Percentage of gross domestic product (GDP)","1,73"
"Energy taxes","Luxembourg","1995","Million euro","446,78"
"Energy taxes","Luxembourg","1995","Million units of national currency","426,98"
"Energy taxes","Luxembourg","1995","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","7,23"
"Energy taxes","Luxembourg","1995","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","7,62"
"Energy taxes","Luxembourg","1995","Percentage of gross domestic product (GDP)","2,71"
"Energy taxes","Luxembourg","1996","Million euro","451,49"
"Energy taxes","Luxembourg","1996","Million units of national currency","439,84"
"Energy taxes","Luxembourg","1996","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","7,07"
"Energy taxes","Luxembourg","1996","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","7,4"
"Energy taxes","Luxembourg","1996","Percentage of gross domestic product (GDP)","2,63"
"Energy taxes","Luxembourg","1997","Million euro","461,74"
"Energy taxes","Luxembourg","1997","Million units of national currency","463,95"
"Energy taxes","Luxembourg","1997","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,87"
"Energy taxes","Luxembourg","1997","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","7,18"
"Energy taxes","Luxembourg","1997","Percentage of gross domestic product (GDP)","2,65"
"Energy taxes","Luxembourg","1998","Million euro","483,17"
"Energy taxes","Luxembourg","1998","Million units of national currency","486,54"
"Energy taxes","Luxembourg","1998","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,79"
"Energy taxes","Luxembourg","1998","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","7,08"
"Energy taxes","Luxembourg","1998","Percentage of gross domestic product (GDP)","2,68"
"Energy taxes","Luxembourg","1999","Million euro","532,53"
"Energy taxes","Luxembourg","1999","Million units of national currency","532,53"
"Energy taxes","Luxembourg","1999","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,71"
"Energy taxes","Luxembourg","1999","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,97"
"Energy taxes","Luxembourg","1999","Percentage of gross domestic product (GDP)","2,55"
"Energy taxes","Luxembourg","2000","Million euro","584,55"
"Energy taxes","Luxembourg","2000","Million units of national currency","584,55"
"Energy taxes","Luxembourg","2000","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,55"
"Energy taxes","Luxembourg","2000","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,79"
"Energy taxes","Luxembourg","2000","Percentage of gross domestic product (GDP)","2,53"
"Energy taxes","Luxembourg","2001","Million euro","608,57"
"Energy taxes","Luxembourg","2001","Million units of national currency","608,57"
"Energy taxes","Luxembourg","2001","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,55"
"Energy taxes","Luxembourg","2001","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,78"
"Energy taxes","Luxembourg","2001","Percentage of gross domestic product (GDP)","2,56"
"Energy taxes","Luxembourg","2002","Million euro","635,49"
"Energy taxes","Luxembourg","2002","Million units of national currency","635,49"
"Energy taxes","Luxembourg","2002","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,52"
"Energy taxes","Luxembourg","2002","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,74"
"Energy taxes","Luxembourg","2002","Percentage of gross domestic product (GDP)","2,53"
"Energy taxes","Luxembourg","2003","Million euro","689,39"
"Energy taxes","Luxembourg","2003","Million units of national currency","689,39"
"Energy taxes","Luxembourg","2003","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,74"
"Energy taxes","Luxembourg","2003","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,99"
"Energy taxes","Luxembourg","2003","Percentage of gross domestic product (GDP)","2,63"
"Energy taxes","Luxembourg","2004","Million euro","808,02"
"Energy taxes","Luxembourg","2004","Million units of national currency","808,02"
"Energy taxes","Luxembourg","2004","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","7,61"
"Energy taxes","Luxembourg","2004","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","7,89"
"Energy taxes","Luxembourg","2004","Percentage of gross domestic product (GDP)","2,89"
"Energy taxes","Luxembourg","2005","Million euro","861,01"
"Energy taxes","Luxembourg","2005","Million units of national currency","861,01"
"Energy taxes","Luxembourg","2005","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","7,3"
"Energy taxes","Luxembourg","2005","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","7,56"
"Energy taxes","Luxembourg","2005","Percentage of gross domestic product (GDP)","2,87"
"Energy taxes","Luxembourg","2006","Million euro","855,68"
"Energy taxes","Luxembourg","2006","Million units of national currency","855,68"
"Energy taxes","Luxembourg","2006","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,81"
"Energy taxes","Luxembourg","2006","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","7,06"
"Energy taxes","Luxembourg","2006","Percentage of gross domestic product (GDP)","2,53"
"Energy taxes","Luxembourg","2007","Million euro","887,81"
"Energy taxes","Luxembourg","2007","Million units of national currency","887,81"
"Energy taxes","Luxembourg","2007","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,37"
"Energy taxes","Luxembourg","2007","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,58"
"Energy taxes","Luxembourg","2007","Percentage of gross domestic product (GDP)","2,39"
"Energy taxes","Luxembourg","2008","Million euro","918,87"
"Energy taxes","Luxembourg","2008","Million units of national currency","918,87"
"Energy taxes","Luxembourg","2008","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,33"
"Energy taxes","Luxembourg","2008","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,54"
"Energy taxes","Luxembourg","2008","Percentage of gross domestic product (GDP)","2,41"
"Energy taxes","Luxembourg","2009","Million euro","858,25"
"Energy taxes","Luxembourg","2009","Million units of national currency","858,25"
"Energy taxes","Luxembourg","2009","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,84"
"Energy taxes","Luxembourg","2009","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,05"
"Energy taxes","Luxembourg","2009","Percentage of gross domestic product (GDP)","2,32"
"Energy taxes","Luxembourg","2010","Million euro","887,58"
"Energy taxes","Luxembourg","2010","Million units of national currency","887,58"
"Energy taxes","Luxembourg","2010","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,67"
"Energy taxes","Luxembourg","2010","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,87"
"Energy taxes","Luxembourg","2010","Percentage of gross domestic product (GDP)","2,21"
"Energy taxes","Luxembourg","2011","Million euro","950,95"
"Energy taxes","Luxembourg","2011","Million units of national currency","950,95"
"Energy taxes","Luxembourg","2011","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,73"
"Energy taxes","Luxembourg","2011","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,93"
"Energy taxes","Luxembourg","2011","Percentage of gross domestic product (GDP)","2,2"
"Energy taxes","Luxembourg","2012","Million euro","968,23"
"Energy taxes","Luxembourg","2012","Million units of national currency","968,23"
"Energy taxes","Luxembourg","2012","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,5"
"Energy taxes","Luxembourg","2012","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,7"
"Energy taxes","Luxembourg","2012","Percentage of gross domestic product (GDP)","2,19"
"Energy taxes","Luxembourg","2013","Million euro","928"
"Energy taxes","Luxembourg","2013","Million units of national currency","928"
"Energy taxes","Luxembourg","2013","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,02"
"Energy taxes","Luxembourg","2013","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,2"
"Energy taxes","Luxembourg","2013","Percentage of gross domestic product (GDP)","2"
"Energy taxes","Luxembourg","2014","Million euro","899,66"
"Energy taxes","Luxembourg","2014","Million units of national currency","899,66"
"Energy taxes","Luxembourg","2014","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,64"
"Energy taxes","Luxembourg","2014","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,8"
"Energy taxes","Luxembourg","2014","Percentage of gross domestic product (GDP)","1,81"
"Energy taxes","Luxembourg","2015","Million euro","864,31"
"Energy taxes","Luxembourg","2015","Million units of national currency","864,31"
"Energy taxes","Luxembourg","2015","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,32"
"Energy taxes","Luxembourg","2015","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,47"
"Energy taxes","Luxembourg","2015","Percentage of gross domestic product (GDP)","1,68"
"Energy taxes","Luxembourg","2016","Million euro","847,45"
"Energy taxes","Luxembourg","2016","Million units of national currency","847,45"
"Energy taxes","Luxembourg","2016","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,03"
"Energy taxes","Luxembourg","2016","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,17"
"Energy taxes","Luxembourg","2016","Percentage of gross domestic product (GDP)","1,59"
"Energy taxes","Luxembourg","2017","Million euro","869,08"
"Energy taxes","Luxembourg","2017","Million units of national currency","869,08"
"Energy taxes","Luxembourg","2017","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","3,9"
"Energy taxes","Luxembourg","2017","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,04"
"Energy taxes","Luxembourg","2017","Percentage of gross domestic product (GDP)","1,57"
"Energy taxes","Hungary","1995","Million euro","780,97"
"Energy taxes","Hungary","1995","Million units of national currency","128.508,94"
"Energy taxes","Hungary","1995","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,47"
"Energy taxes","Hungary","1995","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,48"
"Energy taxes","Hungary","1995","Percentage of gross domestic product (GDP)","2,2"
"Energy taxes","Hungary","1996","Million euro","762,13"
"Energy taxes","Hungary","1996","Million units of national currency","147.670,71"
"Energy taxes","Hungary","1996","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,27"
"Energy taxes","Hungary","1996","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,28"
"Energy taxes","Hungary","1996","Percentage of gross domestic product (GDP)","2,07"
"Energy taxes","Hungary","1997","Million euro","861,54"
"Energy taxes","Hungary","1997","Million units of national currency","182.345,63"
"Energy taxes","Hungary","1997","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,47"
"Energy taxes","Hungary","1997","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,48"
"Energy taxes","Hungary","1997","Percentage of gross domestic product (GDP)","2,06"
"Energy taxes","Hungary","1998","Million euro","1.153,28"
"Energy taxes","Hungary","1998","Million units of national currency","277.445,76"
"Energy taxes","Hungary","1998","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","7,04"
"Energy taxes","Hungary","1998","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","7,06"
"Energy taxes","Hungary","1998","Percentage of gross domestic product (GDP)","2,65"
"Energy taxes","Hungary","1999","Million euro","1.205,26"
"Energy taxes","Hungary","1999","Million units of national currency","304.653,75"
"Energy taxes","Hungary","1999","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","6,82"
"Energy taxes","Hungary","1999","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,84"
"Energy taxes","Hungary","1999","Percentage of gross domestic product (GDP)","2,61"
"Energy taxes","Hungary","2000","Million euro","1.180,15"
"Energy taxes","Hungary","2000","Million units of national currency","306.885,87"
"Energy taxes","Hungary","2000","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,88"
"Energy taxes","Hungary","2000","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,89"
"Energy taxes","Hungary","2000","Percentage of gross domestic product (GDP)","2,3"
"Energy taxes","Hungary","2001","Million euro","1.272,49"
"Energy taxes","Hungary","2001","Million units of national currency","326.507,52"
"Energy taxes","Hungary","2001","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,58"
"Energy taxes","Hungary","2001","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,59"
"Energy taxes","Hungary","2001","Percentage of gross domestic product (GDP)","2,12"
"Energy taxes","Hungary","2002","Million euro","1.469,2"
"Energy taxes","Hungary","2002","Million units of national currency","356.956,98"
"Energy taxes","Hungary","2002","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,47"
"Energy taxes","Hungary","2002","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,48"
"Energy taxes","Hungary","2002","Percentage of gross domestic product (GDP)","2,04"
"Energy taxes","Hungary","2003","Million euro","1.470,56"
"Energy taxes","Hungary","2003","Million units of national currency","372.962,9"
"Energy taxes","Hungary","2003","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,22"
"Energy taxes","Hungary","2003","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,23"
"Energy taxes","Hungary","2003","Percentage of gross domestic product (GDP)","1,95"
"Energy taxes","Hungary","2004","Million euro","1.573,75"
"Energy taxes","Hungary","2004","Million units of national currency","396.049,56"
"Energy taxes","Hungary","2004","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,07"
"Energy taxes","Hungary","2004","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,09"
"Energy taxes","Hungary","2004","Percentage of gross domestic product (GDP)","1,88"
"Energy taxes","Hungary","2005","Million euro","1.893,55"
"Energy taxes","Hungary","2005","Million units of national currency","469.696,06"
"Energy taxes","Hungary","2005","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,68"
"Energy taxes","Hungary","2005","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,7"
"Energy taxes","Hungary","2005","Percentage of gross domestic product (GDP)","2,08"
"Energy taxes","Hungary","2006","Million euro","1.889,21"
"Energy taxes","Hungary","2006","Million units of national currency","499.243,65"
"Energy taxes","Hungary","2006","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,63"
"Energy taxes","Hungary","2006","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,65"
"Energy taxes","Hungary","2006","Percentage of gross domestic product (GDP)","2,06"
"Energy taxes","Hungary","2007","Million euro","2.027,74"
"Energy taxes","Hungary","2007","Million units of national currency","509.673,07"
"Energy taxes","Hungary","2007","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,03"
"Energy taxes","Hungary","2007","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,04"
"Energy taxes","Hungary","2007","Percentage of gross domestic product (GDP)","1,98"
"Energy taxes","Hungary","2008","Million euro","2.098,81"
"Energy taxes","Hungary","2008","Million units of national currency","527.872,42"
"Energy taxes","Hungary","2008","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,92"
"Energy taxes","Hungary","2008","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,93"
"Energy taxes","Hungary","2008","Percentage of gross domestic product (GDP)","1,94"
"Energy taxes","Hungary","2009","Million euro","1.868,83"
"Energy taxes","Hungary","2009","Million units of national currency","523.889,76"
"Energy taxes","Hungary","2009","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,08"
"Energy taxes","Hungary","2009","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,1"
"Energy taxes","Hungary","2009","Percentage of gross domestic product (GDP)","1,98"
"Energy taxes","Hungary","2010","Million euro","2.144,93"
"Energy taxes","Hungary","2010","Million units of national currency","590.885,1"
"Energy taxes","Hungary","2010","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,82"
"Energy taxes","Hungary","2010","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,83"
"Energy taxes","Hungary","2010","Percentage of gross domestic product (GDP)","2,17"
"Energy taxes","Hungary","2011","Million euro","2.088,89"
"Energy taxes","Hungary","2011","Million units of national currency","583.574,5"
"Energy taxes","Hungary","2011","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,62"
"Energy taxes","Hungary","2011","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,63"
"Energy taxes","Hungary","2011","Percentage of gross domestic product (GDP)","2,06"
"Energy taxes","Hungary","2012","Million euro","1.958,11"
"Energy taxes","Hungary","2012","Million units of national currency","566.382,71"
"Energy taxes","Hungary","2012","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,13"
"Energy taxes","Hungary","2012","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,14"
"Energy taxes","Hungary","2012","Percentage of gross domestic product (GDP)","1,97"
"Energy taxes","Hungary","2013","Million euro","1.945,45"
"Energy taxes","Hungary","2013","Million units of national currency","577.544,4"
"Energy taxes","Hungary","2013","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,02"
"Energy taxes","Hungary","2013","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,03"
"Energy taxes","Hungary","2013","Percentage of gross domestic product (GDP)","1,91"
"Energy taxes","Hungary","2014","Million euro","2.008,06"
"Energy taxes","Hungary","2014","Million units of national currency","619.907,43"
"Energy taxes","Hungary","2014","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,98"
"Energy taxes","Hungary","2014","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,99"
"Energy taxes","Hungary","2014","Percentage of gross domestic product (GDP)","1,9"
"Energy taxes","Hungary","2015","Million euro","2.135,83"
"Energy taxes","Hungary","2015","Million units of national currency","662.108"
"Energy taxes","Hungary","2015","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,96"
"Energy taxes","Hungary","2015","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,97"
"Energy taxes","Hungary","2015","Percentage of gross domestic product (GDP)","1,93"
"Energy taxes","Hungary","2016","Million euro","2.282,5"
"Energy taxes","Hungary","2016","Million units of national currency","710.863"
"Energy taxes","Hungary","2016","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,09"
"Energy taxes","Hungary","2016","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,1"
"Energy taxes","Hungary","2016","Percentage of gross domestic product (GDP)","2"
"Energy taxes","Hungary","2017","Million euro","2.370,74"
"Energy taxes","Hungary","2017","Million units of national currency","733.008"
"Energy taxes","Hungary","2017","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,98"
"Energy taxes","Hungary","2017","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,99"
"Energy taxes","Hungary","2017","Percentage of gross domestic product (GDP)","1,91"
"Energy taxes","Malta","1995","Million euro","23,43"
"Energy taxes","Malta","1995","Million units of national currency","25,19"
"Energy taxes","Malta","1995","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","3"
"Energy taxes","Malta","1995","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","3,13"
"Energy taxes","Malta","1995","Percentage of gross domestic product (GDP)","0,83"
"Energy taxes","Malta","1996","Million euro","23,64"
"Energy taxes","Malta","1996","Million units of national currency","25,2"
"Energy taxes","Malta","1996","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","3,08"
"Energy taxes","Malta","1996","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","3,25"
"Energy taxes","Malta","1996","Percentage of gross domestic product (GDP)","0,79"
"Energy taxes","Malta","1997","Million euro","40,47"
"Energy taxes","Malta","1997","Million units of national currency","41,24"
"Energy taxes","Malta","1997","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,38"
"Energy taxes","Malta","1997","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,59"
"Energy taxes","Malta","1997","Percentage of gross domestic product (GDP)","1,21"
"Energy taxes","Malta","1998","Million euro","54,25"
"Energy taxes","Malta","1998","Million units of national currency","54,97"
"Energy taxes","Malta","1998","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,93"
"Energy taxes","Malta","1998","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,25"
"Energy taxes","Malta","1998","Percentage of gross domestic product (GDP)","1,53"
"Energy taxes","Malta","1999","Million euro","58,35"
"Energy taxes","Malta","1999","Million units of national currency","57,88"
"Energy taxes","Malta","1999","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,45"
"Energy taxes","Malta","1999","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,71"
"Energy taxes","Malta","1999","Percentage of gross domestic product (GDP)","1,52"
"Energy taxes","Malta","2000","Million euro","58,57"
"Energy taxes","Malta","2000","Million units of national currency","55,13"
"Energy taxes","Malta","2000","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,71"
"Energy taxes","Malta","2000","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,9"
"Energy taxes","Malta","2000","Percentage of gross domestic product (GDP)","1,33"
"Energy taxes","Malta","2001","Million euro","65,97"
"Energy taxes","Malta","2001","Million units of national currency","61,93"
"Energy taxes","Malta","2001","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,84"
"Energy taxes","Malta","2001","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,08"
"Energy taxes","Malta","2001","Percentage of gross domestic product (GDP)","1,45"
"Energy taxes","Malta","2002","Million euro","61,45"
"Energy taxes","Malta","2002","Million units of national currency","58,53"
"Energy taxes","Malta","2002","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,22"
"Energy taxes","Malta","2002","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,42"
"Energy taxes","Malta","2002","Percentage of gross domestic product (GDP)","1,3"
"Energy taxes","Malta","2003","Million euro","56,29"
"Energy taxes","Malta","2003","Million units of national currency","55,87"
"Energy taxes","Malta","2003","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","3,81"
"Energy taxes","Malta","2003","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","3,99"
"Energy taxes","Malta","2003","Percentage of gross domestic product (GDP)","1,17"
"Energy taxes","Malta","2004","Million euro","56,47"
"Energy taxes","Malta","2004","Million units of national currency","56,3"
"Energy taxes","Malta","2004","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","3,69"
"Energy taxes","Malta","2004","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","3,86"
"Energy taxes","Malta","2004","Percentage of gross domestic product (GDP)","1,16"
"Energy taxes","Malta","2005","Million euro","62,21"
"Energy taxes","Malta","2005","Million units of national currency","62,29"
"Energy taxes","Malta","2005","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","3,67"
"Energy taxes","Malta","2005","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","3,83"
"Energy taxes","Malta","2005","Percentage of gross domestic product (GDP)","1,21"
"Energy taxes","Malta","2006","Million euro","66,9"
"Energy taxes","Malta","2006","Million units of national currency","66,9"
"Energy taxes","Malta","2006","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","3,72"
"Energy taxes","Malta","2006","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","3,89"
"Energy taxes","Malta","2006","Percentage of gross domestic product (GDP)","1,24"
"Energy taxes","Malta","2007","Million euro","97,58"
"Energy taxes","Malta","2007","Million units of national currency","97,58"
"Energy taxes","Malta","2007","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,96"
"Energy taxes","Malta","2007","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,16"
"Energy taxes","Malta","2007","Percentage of gross domestic product (GDP)","1,69"
"Energy taxes","Malta","2008","Million euro","86,22"
"Energy taxes","Malta","2008","Million units of national currency","86,22"
"Energy taxes","Malta","2008","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,21"
"Energy taxes","Malta","2008","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,38"
"Energy taxes","Malta","2008","Percentage of gross domestic product (GDP)","1,41"
"Energy taxes","Malta","2009","Million euro","86,62"
"Energy taxes","Malta","2009","Million units of national currency","86,62"
"Energy taxes","Malta","2009","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,17"
"Energy taxes","Malta","2009","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,35"
"Energy taxes","Malta","2009","Percentage of gross domestic product (GDP)","1,41"
"Energy taxes","Malta","2010","Million euro","92,72"
"Energy taxes","Malta","2010","Million units of national currency","92,72"
"Energy taxes","Malta","2010","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,23"
"Energy taxes","Malta","2010","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,4"
