"UNIT","GEO","TIME","NA_ITEM","Value"
"Current prices, million euro","Denmark","1995","Gross domestic product at market prices","141.441,4"
"Current prices, million euro","Denmark","1996","Gross domestic product at market prices","147.843,4"
"Current prices, million euro","Denmark","1997","Gross domestic product at market prices","153.152,1"
"Current prices, million euro","Denmark","1998","Gross domestic product at market prices","158.146,4"
"Current prices, million euro","Denmark","1999","Gross domestic product at market prices","166.972,1"
"Current prices, million euro","Denmark","2000","Gross domestic product at market prices","178.018,1"
"Current prices, million euro","Denmark","2001","Gross domestic product at market prices","184.045,6"
"Current prices, million euro","Denmark","2002","Gross domestic product at market prices","189.794,9"
"Current prices, million euro","Denmark","2003","Gross domestic product at market prices","193.353,4"
"Current prices, million euro","Denmark","2004","Gross domestic product at market prices","202.422,2"
"Current prices, million euro","Denmark","2005","Gross domestic product at market prices","212.832,4"
"Current prices, million euro","Denmark","2006","Gross domestic product at market prices","225.531,3"
"Current prices, million euro","Denmark","2007","Gross domestic product at market prices","233.383,3"
"Current prices, million euro","Denmark","2008","Gross domestic product at market prices","241.613,5"
"Current prices, million euro","Denmark","2009","Gross domestic product at market prices","231.278,0"
"Current prices, million euro","Denmark","2010","Gross domestic product at market prices","243.165,4"
"Current prices, million euro","Denmark","2011","Gross domestic product at market prices","247.879,9"
"Current prices, million euro","Denmark","2012","Gross domestic product at market prices","254.578,0"
"Current prices, million euro","Denmark","2013","Gross domestic product at market prices","258.742,7"
"Current prices, million euro","Denmark","2014","Gross domestic product at market prices","265.757,0"
"Current prices, million euro","Denmark","2015","Gross domestic product at market prices","273.017,6"
"Current prices, million euro","Denmark","2016","Gross domestic product at market prices","282.090,0"
"Current prices, million euro","Denmark","2017","Gross domestic product at market prices","292.806,1"
"Current prices, million euro","Denmark","2018","Gross domestic product at market prices","298.276,5"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","1975","Gross domestic product at market prices",":"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","1976","Gross domestic product at market prices",":"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","1977","Gross domestic product at market prices",":"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","1978","Gross domestic product at market prices",":"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","1979","Gross domestic product at market prices",":"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","1980","Gross domestic product at market prices",":"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","1981","Gross domestic product at market prices",":"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","1982","Gross domestic product at market prices",":"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","1983","Gross domestic product at market prices",":"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","1984","Gross domestic product at market prices",":"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","1985","Gross domestic product at market prices",":"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","1986","Gross domestic product at market prices",":"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","1987","Gross domestic product at market prices",":"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","1988","Gross domestic product at market prices",":"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","1989","Gross domestic product at market prices",":"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","1990","Gross domestic product at market prices",":"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","1991","Gross domestic product at market prices","1.512.391,8"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","1992","Gross domestic product at market prices","1.647.737,1"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","1993","Gross domestic product at market prices","1.768.471,4"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","1994","Gross domestic product at market prices","1.859.310,3"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","1995","Gross domestic product at market prices","1.977.604,1"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","1996","Gross domestic product at market prices","1.967.956,2"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","1997","Gross domestic product at market prices","1.952.617,8"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","1998","Gross domestic product at market prices","2.000.815,9"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","1999","Gross domestic product at market prices","2.059.480,0"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","2000","Gross domestic product at market prices","2.109.090,0"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","2001","Gross domestic product at market prices","2.172.540,0"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","2002","Gross domestic product at market prices","2.198.120,0"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","2003","Gross domestic product at market prices","2.211.570,0"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","2004","Gross domestic product at market prices","2.262.520,0"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","2005","Gross domestic product at market prices","2.288.310,0"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","2006","Gross domestic product at market prices","2.385.080,0"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","2007","Gross domestic product at market prices","2.499.550,0"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","2008","Gross domestic product at market prices","2.546.490,0"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","2009","Gross domestic product at market prices","2.445.730,0"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","2010","Gross domestic product at market prices","2.564.400,0"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","2011","Gross domestic product at market prices","2.693.560,0"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","2012","Gross domestic product at market prices","2.745.310,0"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","2013","Gross domestic product at market prices","2.811.350,0"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","2014","Gross domestic product at market prices","2.927.430,0"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","2015","Gross domestic product at market prices","3.030.070,0"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","2016","Gross domestic product at market prices","3.134.100,0"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","2017","Gross domestic product at market prices","3.244.990,0"
"Current prices, million euro","Germany (until 1990 former territory of the FRG)","2018","Gross domestic product at market prices","3.344.370,0"
"Current prices, million euro","Estonia","1975","Gross domestic product at market prices",":"
"Current prices, million euro","Estonia","1976","Gross domestic product at market prices",":"
"Current prices, million euro","Estonia","1977","Gross domestic product at market prices",":"
"Current prices, million euro","Estonia","1978","Gross domestic product at market prices",":"
"Current prices, million euro","Estonia","1979","Gross domestic product at market prices",":"
"Current prices, million euro","Estonia","1980","Gross domestic product at market prices",":"
"Current prices, million euro","Estonia","1981","Gross domestic product at market prices",":"
"Current prices, million euro","Estonia","1982","Gross domestic product at market prices",":"
"Current prices, million euro","Estonia","1983","Gross domestic product at market prices",":"
"Current prices, million euro","Estonia","1984","Gross domestic product at market prices",":"
"Current prices, million euro","Estonia","1985","Gross domestic product at market prices",":"
"Current prices, million euro","Estonia","1986","Gross domestic product at market prices",":"
"Current prices, million euro","Estonia","1987","Gross domestic product at market prices",":"
"Current prices, million euro","Estonia","1988","Gross domestic product at market prices",":"
"Current prices, million euro","Estonia","1989","Gross domestic product at market prices",":"
"Current prices, million euro","Estonia","1990","Gross domestic product at market prices",":"
"Current prices, million euro","Estonia","1991","Gross domestic product at market prices",":"
"Current prices, million euro","Estonia","1992","Gross domestic product at market prices",":"
"Current prices, million euro","Estonia","1993","Gross domestic product at market prices",":"
"Current prices, million euro","Estonia","1994","Gross domestic product at market prices",":"
"Current prices, million euro","Estonia","1995","Gross domestic product at market prices","2.984,7"
"Current prices, million euro","Estonia","1996","Gross domestic product at market prices","3.765,4"
"Current prices, million euro","Estonia","1997","Gross domestic product at market prices","4.547,8"
"Current prices, million euro","Estonia","1998","Gross domestic product at market prices","5.060,3"
"Current prices, million euro","Estonia","1999","Gross domestic product at market prices","5.411,7"
"Current prices, million euro","Estonia","2000","Gross domestic product at market prices","6.179,8"
"Current prices, million euro","Estonia","2001","Gross domestic product at market prices","6.992,2"
"Current prices, million euro","Estonia","2002","Gross domestic product at market prices","7.827,3"
"Current prices, million euro","Estonia","2003","Gross domestic product at market prices","8.747,6"
"Current prices, million euro","Estonia","2004","Gross domestic product at market prices","9.776,2"
"Current prices, million euro","Estonia","2005","Gross domestic product at market prices","11.336,5"
"Current prices, million euro","Estonia","2006","Gross domestic product at market prices","13.560,5"
"Current prices, million euro","Estonia","2007","Gross domestic product at market prices","16.398,7"
"Current prices, million euro","Estonia","2008","Gross domestic product at market prices","16.638,3"
"Current prices, million euro","Estonia","2009","Gross domestic product at market prices","14.211,8"
"Current prices, million euro","Estonia","2010","Gross domestic product at market prices","14.863,1"
"Current prices, million euro","Estonia","2011","Gross domestic product at market prices","16.829,2"
"Current prices, million euro","Estonia","2012","Gross domestic product at market prices","18.050,7"
"Current prices, million euro","Estonia","2013","Gross domestic product at market prices","19.033,4"
"Current prices, million euro","Estonia","2014","Gross domestic product at market prices","20.180,0"
"Current prices, million euro","Estonia","2015","Gross domestic product at market prices","20.782,2"
"Current prices, million euro","Estonia","2016","Gross domestic product at market prices","21.693,6"
"Current prices, million euro","Estonia","2017","Gross domestic product at market prices","23.775,8"
"Current prices, million euro","Estonia","2018","Gross domestic product at market prices","26.035,9"
"Current prices, million euro","Ireland","1975","Gross domestic product at market prices",":"
"Current prices, million euro","Ireland","1976","Gross domestic product at market prices",":"
"Current prices, million euro","Ireland","1977","Gross domestic product at market prices",":"
"Current prices, million euro","Ireland","1978","Gross domestic product at market prices",":"
"Current prices, million euro","Ireland","1979","Gross domestic product at market prices",":"
"Current prices, million euro","Ireland","1980","Gross domestic product at market prices",":"
"Current prices, million euro","Ireland","1981","Gross domestic product at market prices",":"
"Current prices, million euro","Ireland","1982","Gross domestic product at market prices",":"
"Current prices, million euro","Ireland","1983","Gross domestic product at market prices",":"
"Current prices, million euro","Ireland","1984","Gross domestic product at market prices",":"
"Current prices, million euro","Ireland","1985","Gross domestic product at market prices",":"
"Current prices, million euro","Ireland","1986","Gross domestic product at market prices",":"
"Current prices, million euro","Ireland","1987","Gross domestic product at market prices",":"
"Current prices, million euro","Ireland","1988","Gross domestic product at market prices",":"
"Current prices, million euro","Ireland","1989","Gross domestic product at market prices",":"
"Current prices, million euro","Ireland","1990","Gross domestic product at market prices",":"
"Current prices, million euro","Ireland","1991","Gross domestic product at market prices",":"
"Current prices, million euro","Ireland","1992","Gross domestic product at market prices",":"
"Current prices, million euro","Ireland","1993","Gross domestic product at market prices",":"
"Current prices, million euro","Ireland","1994","Gross domestic product at market prices",":"
"Current prices, million euro","Ireland","1995","Gross domestic product at market prices","52.944,6"
"Current prices, million euro","Ireland","1996","Gross domestic product at market prices","59.772,3"
"Current prices, million euro","Ireland","1997","Gross domestic product at market prices","73.091,9"
"Current prices, million euro","Ireland","1998","Gross domestic product at market prices","80.460,9"
"Current prices, million euro","Ireland","1999","Gross domestic product at market prices","92.632,4"
"Current prices, million euro","Ireland","2000","Gross domestic product at market prices","108.380,4"
"Current prices, million euro","Ireland","2001","Gross domestic product at market prices","121.958,6"
"Current prices, million euro","Ireland","2002","Gross domestic product at market prices","135.959,2"
"Current prices, million euro","Ireland","2003","Gross domestic product at market prices","145.555,8"
"Current prices, million euro","Ireland","2004","Gross domestic product at market prices","156.143,8"
"Current prices, million euro","Ireland","2005","Gross domestic product at market prices","170.187,0"
"Current prices, million euro","Ireland","2006","Gross domestic product at market prices","184.993,7"
"Current prices, million euro","Ireland","2007","Gross domestic product at market prices","197.202,0"
"Current prices, million euro","Ireland","2008","Gross domestic product at market prices","187.769,1"
"Current prices, million euro","Ireland","2009","Gross domestic product at market prices","170.100,5"
"Current prices, million euro","Ireland","2010","Gross domestic product at market prices","167.732,3"
"Current prices, million euro","Ireland","2011","Gross domestic product at market prices","170.827,0"
"Current prices, million euro","Ireland","2012","Gross domestic product at market prices","175.115,7"
"Current prices, million euro","Ireland","2013","Gross domestic product at market prices","179.661,3"
"Current prices, million euro","Ireland","2014","Gross domestic product at market prices","194.818,2"
"Current prices, million euro","Ireland","2015","Gross domestic product at market prices","262.833,4"
"Current prices, million euro","Ireland","2016","Gross domestic product at market prices","271.683,6"
"Current prices, million euro","Ireland","2017","Gross domestic product at market prices","297.130,8"
"Current prices, million euro","Ireland","2018","Gross domestic product at market prices","324.038,2"
"Current prices, million euro","Greece","1975","Gross domestic product at market prices",":"
"Current prices, million euro","Greece","1976","Gross domestic product at market prices",":"
"Current prices, million euro","Greece","1977","Gross domestic product at market prices",":"
"Current prices, million euro","Greece","1978","Gross domestic product at market prices",":"
"Current prices, million euro","Greece","1979","Gross domestic product at market prices",":"
"Current prices, million euro","Greece","1980","Gross domestic product at market prices",":"
"Current prices, million euro","Greece","1981","Gross domestic product at market prices",":"
"Current prices, million euro","Greece","1982","Gross domestic product at market prices",":"
"Current prices, million euro","Greece","1983","Gross domestic product at market prices",":"
"Current prices, million euro","Greece","1984","Gross domestic product at market prices",":"
"Current prices, million euro","Greece","1985","Gross domestic product at market prices",":"
"Current prices, million euro","Greece","1986","Gross domestic product at market prices",":"
"Current prices, million euro","Greece","1987","Gross domestic product at market prices",":"
"Current prices, million euro","Greece","1988","Gross domestic product at market prices",":"
"Current prices, million euro","Greece","1989","Gross domestic product at market prices",":"
"Current prices, million euro","Greece","1990","Gross domestic product at market prices",":"
"Current prices, million euro","Greece","1991","Gross domestic product at market prices",":"
"Current prices, million euro","Greece","1992","Gross domestic product at market prices",":"
"Current prices, million euro","Greece","1993","Gross domestic product at market prices",":"
"Current prices, million euro","Greece","1994","Gross domestic product at market prices",":"
"Current prices, million euro","Greece","1995","Gross domestic product at market prices","104.662,1"
"Current prices, million euro","Greece","1996","Gross domestic product at market prices","114.908,2"
"Current prices, million euro","Greece","1997","Gross domestic product at market prices","126.353,8"
"Current prices, million euro","Greece","1998","Gross domestic product at market prices","129.057,3"
"Current prices, million euro","Greece","1999","Gross domestic product at market prices","139.945,1"
"Current prices, million euro","Greece","2000","Gross domestic product at market prices","142.976,0"
"Current prices, million euro","Greece","2001","Gross domestic product at market prices","152.193,8"
"Current prices, million euro","Greece","2002","Gross domestic product at market prices","163.460,8"
"Current prices, million euro","Greece","2003","Gross domestic product at market prices","178.904,9"
"Current prices, million euro","Greece","2004","Gross domestic product at market prices","193.715,8"
"Current prices, million euro","Greece","2005","Gross domestic product at market prices","199.242,3"
"Current prices, million euro","Greece","2006","Gross domestic product at market prices","217.861,6"
"Current prices, million euro","Greece","2007","Gross domestic product at market prices","232.694,6"
"Current prices, million euro","Greece","2008","Gross domestic product at market prices","241.990,4"
"Current prices, million euro","Greece","2009","Gross domestic product at market prices","237.534,2"
"Current prices, million euro","Greece","2010","Gross domestic product at market prices","226.031,4"
"Current prices, million euro","Greece","2011","Gross domestic product at market prices","207.028,9"
"Current prices, million euro","Greece","2012","Gross domestic product at market prices","191.203,9"
"Current prices, million euro","Greece","2013","Gross domestic product at market prices","180.654,3"
"Current prices, million euro","Greece","2014","Gross domestic product at market prices","178.656,5"
"Current prices, million euro","Greece","2015","Gross domestic product at market prices","177.258,4"
"Current prices, million euro","Greece","2016","Gross domestic product at market prices","176.487,9"
"Current prices, million euro","Greece","2017","Gross domestic product at market prices","180.217,6"
"Current prices, million euro","Greece","2018","Gross domestic product at market prices","184.713,6"
"Current prices, million euro","Spain","1975","Gross domestic product at market prices",":"
"Current prices, million euro","Spain","1976","Gross domestic product at market prices",":"
"Current prices, million euro","Spain","1977","Gross domestic product at market prices",":"
"Current prices, million euro","Spain","1978","Gross domestic product at market prices",":"
"Current prices, million euro","Spain","1979","Gross domestic product at market prices",":"
"Current prices, million euro","Spain","1980","Gross domestic product at market prices",":"
"Current prices, million euro","Spain","1981","Gross domestic product at market prices",":"
"Current prices, million euro","Spain","1982","Gross domestic product at market prices",":"
"Current prices, million euro","Spain","1983","Gross domestic product at market prices",":"
"Current prices, million euro","Spain","1984","Gross domestic product at market prices",":"
"Current prices, million euro","Spain","1985","Gross domestic product at market prices",":"
"Current prices, million euro","Spain","1986","Gross domestic product at market prices",":"
"Current prices, million euro","Spain","1987","Gross domestic product at market prices",":"
"Current prices, million euro","Spain","1988","Gross domestic product at market prices",":"
"Current prices, million euro","Spain","1989","Gross domestic product at market prices",":"
"Current prices, million euro","Spain","1990","Gross domestic product at market prices",":"
"Current prices, million euro","Spain","1991","Gross domestic product at market prices",":"
"Current prices, million euro","Spain","1992","Gross domestic product at market prices",":"
"Current prices, million euro","Spain","1993","Gross domestic product at market prices",":"
"Current prices, million euro","Spain","1994","Gross domestic product at market prices",":"
"Current prices, million euro","Spain","1995","Gross domestic product at market prices","470.155,7"
"Current prices, million euro","Spain","1996","Gross domestic product at market prices","506.362,6"
"Current prices, million euro","Spain","1997","Gross domestic product at market prices","520.831,0"
"Current prices, million euro","Spain","1998","Gross domestic product at market prices","553.338,4"
"Current prices, million euro","Spain","1999","Gross domestic product at market prices","595.723,0"
"Current prices, million euro","Spain","2000","Gross domestic product at market prices","647.851,0"
"Current prices, million euro","Spain","2001","Gross domestic product at market prices","700.993,0"
"Current prices, million euro","Spain","2002","Gross domestic product at market prices","749.552,0"
"Current prices, million euro","Spain","2003","Gross domestic product at market prices","802.266,0"
"Current prices, million euro","Spain","2004","Gross domestic product at market prices","859.437,0"
"Current prices, million euro","Spain","2005","Gross domestic product at market prices","927.357,0"
"Current prices, million euro","Spain","2006","Gross domestic product at market prices","1.003.823,0"
"Current prices, million euro","Spain","2007","Gross domestic product at market prices","1.075.539,0"
"Current prices, million euro","Spain","2008","Gross domestic product at market prices","1.109.541,0"
"Current prices, million euro","Spain","2009","Gross domestic product at market prices","1.069.323,0"
"Current prices, million euro","Spain","2010","Gross domestic product at market prices","1.072.709,0"
"Current prices, million euro","Spain","2011","Gross domestic product at market prices","1.063.763,0"
"Current prices, million euro","Spain","2012","Gross domestic product at market prices","1.031.099,0"
"Current prices, million euro","Spain","2013","Gross domestic product at market prices","1.020.348,0"
"Current prices, million euro","Spain","2014","Gross domestic product at market prices","1.032.158,0"
"Current prices, million euro","Spain","2015","Gross domestic product at market prices","1.077.590,0"
"Current prices, million euro","Spain","2016","Gross domestic product at market prices","1.113.840,0"
"Current prices, million euro","Spain","2017","Gross domestic product at market prices","1.161.878,0"
"Current prices, million euro","Spain","2018","Gross domestic product at market prices","1.202.193,0"
"Current prices, million euro","France","1975","Gross domestic product at market prices","290.877,3"
"Current prices, million euro","France","1976","Gross domestic product at market prices","334.567,3"
"Current prices, million euro","France","1977","Gross domestic product at market prices","358.989,4"
"Current prices, million euro","France","1978","Gross domestic product at market prices","398.402,6"
"Current prices, million euro","France","1979","Gross domestic product at market prices","448.057,1"
"Current prices, million euro","France","1980","Gross domestic product at market prices","504.930,7"
"Current prices, million euro","France","1981","Gross domestic product at market prices","553.861,4"
"Current prices, million euro","France","1982","Gross domestic product at market prices","597.688,1"
"Current prices, million euro","France","1983","Gross domestic product at market prices","630.219,6"
"Current prices, million euro","France","1984","Gross domestic product at market prices","674.919,2"
"Current prices, million euro","France","1985","Gross domestic product at market prices","731.434,2"
"Current prices, million euro","France","1986","Gross domestic product at market prices","785.821,3"
"Current prices, million euro","France","1987","Gross domestic product at market prices","810.332,9"
"Current prices, million euro","France","1988","Gross domestic product at market prices","862.511,7"
"Current prices, million euro","France","1989","Gross domestic product at market prices","931.207,9"
"Current prices, million euro","France","1990","Gross domestic product at market prices","999.521,7"
"Current prices, million euro","France","1991","Gross domestic product at market prices","1.026.930,1"
"Current prices, million euro","France","1992","Gross domestic product at market prices","1.083.285,9"
"Current prices, million euro","France","1993","Gross domestic product at market prices","1.129.359,6"
"Current prices, million euro","France","1994","Gross domestic product at market prices","1.175.736,5"
"Current prices, million euro","France","1995","Gross domestic product at market prices","1.224.717,2"
"Current prices, million euro","France","1996","Gross domestic product at market prices","1.265.105,4"
"Current prices, million euro","France","1997","Gross domestic product at market prices","1.282.409,5"
"Current prices, million euro","France","1998","Gross domestic product at market prices","1.343.327,3"
"Current prices, million euro","France","1999","Gross domestic product at market prices","1.400.999,0"
"Current prices, million euro","France","2000","Gross domestic product at market prices","1.478.585,0"
"Current prices, million euro","France","2001","Gross domestic product at market prices","1.538.200,0"
"Current prices, million euro","France","2002","Gross domestic product at market prices","1.587.829,0"
"Current prices, million euro","France","2003","Gross domestic product at market prices","1.630.666,0"
"Current prices, million euro","France","2004","Gross domestic product at market prices","1.704.019,0"
"Current prices, million euro","France","2005","Gross domestic product at market prices","1.765.905,0"
"Current prices, million euro","France","2006","Gross domestic product at market prices","1.848.151,0"
"Current prices, million euro","France","2007","Gross domestic product at market prices","1.941.360,0"
"Current prices, million euro","France","2008","Gross domestic product at market prices","1.992.380,0"
"Current prices, million euro","France","2009","Gross domestic product at market prices","1.936.422,0"
"Current prices, million euro","France","2010","Gross domestic product at market prices","1.995.289,0"
"Current prices, million euro","France","2011","Gross domestic product at market prices","2.058.369,0"
"Current prices, million euro","France","2012","Gross domestic product at market prices","2.088.804,0"
"Current prices, million euro","France","2013","Gross domestic product at market prices","2.117.189,0"
"Current prices, million euro","France","2014","Gross domestic product at market prices","2.149.765,0"
"Current prices, million euro","France","2015","Gross domestic product at market prices","2.198.432,0"
"Current prices, million euro","France","2016","Gross domestic product at market prices","2.234.129,0"
"Current prices, million euro","France","2017","Gross domestic product at market prices","2.295.063,0"
"Current prices, million euro","France","2018","Gross domestic product at market prices","2.353.090,0"
"Current prices, million euro","Croatia","1975","Gross domestic product at market prices",":"
"Current prices, million euro","Croatia","1976","Gross domestic product at market prices",":"
"Current prices, million euro","Croatia","1977","Gross domestic product at market prices",":"
"Current prices, million euro","Croatia","1978","Gross domestic product at market prices",":"
"Current prices, million euro","Croatia","1979","Gross domestic product at market prices",":"
"Current prices, million euro","Croatia","1980","Gross domestic product at market prices",":"
"Current prices, million euro","Croatia","1981","Gross domestic product at market prices",":"
"Current prices, million euro","Croatia","1982","Gross domestic product at market prices",":"
"Current prices, million euro","Croatia","1983","Gross domestic product at market prices",":"
"Current prices, million euro","Croatia","1984","Gross domestic product at market prices",":"
"Current prices, million euro","Croatia","1985","Gross domestic product at market prices",":"
"Current prices, million euro","Croatia","1986","Gross domestic product at market prices",":"
"Current prices, million euro","Croatia","1987","Gross domestic product at market prices",":"
"Current prices, million euro","Croatia","1988","Gross domestic product at market prices",":"
"Current prices, million euro","Croatia","1989","Gross domestic product at market prices",":"
"Current prices, million euro","Croatia","1990","Gross domestic product at market prices",":"
"Current prices, million euro","Croatia","1991","Gross domestic product at market prices",":"
"Current prices, million euro","Croatia","1992","Gross domestic product at market prices",":"
"Current prices, million euro","Croatia","1993","Gross domestic product at market prices",":"
"Current prices, million euro","Croatia","1994","Gross domestic product at market prices",":"
"Current prices, million euro","Croatia","1995","Gross domestic product at market prices","17.326,6"
"Current prices, million euro","Croatia","1996","Gross domestic product at market prices","18.913,2"
"Current prices, million euro","Croatia","1997","Gross domestic product at market prices","21.093,8"
"Current prices, million euro","Croatia","1998","Gross domestic product at market prices","22.664,4"
"Current prices, million euro","Croatia","1999","Gross domestic product at market prices","21.955,7"
"Current prices, million euro","Croatia","2000","Gross domestic product at market prices","23.582,0"
"Current prices, million euro","Croatia","2001","Gross domestic product at market prices","25.965,1"
"Current prices, million euro","Croatia","2002","Gross domestic product at market prices","28.531,0"
"Current prices, million euro","Croatia","2003","Gross domestic product at market prices","30.710,8"
"Current prices, million euro","Croatia","2004","Gross domestic product at market prices","33.423,3"
"Current prices, million euro","Croatia","2005","Gross domestic product at market prices","36.452,7"
"Current prices, million euro","Croatia","2006","Gross domestic product at market prices","40.158,7"
"Current prices, million euro","Croatia","2007","Gross domestic product at market prices","43.946,8"
"Current prices, million euro","Croatia","2008","Gross domestic product at market prices","48.138,8"
"Current prices, million euro","Croatia","2009","Gross domestic product at market prices","45.145,4"
"Current prices, million euro","Croatia","2010","Gross domestic product at market prices","45.155,5"
"Current prices, million euro","Croatia","2011","Gross domestic product at market prices","44.825,5"
"Current prices, million euro","Croatia","2012","Gross domestic product at market prices","43.982,7"
"Current prices, million euro","Croatia","2013","Gross domestic product at market prices","43.779,2"
"Current prices, million euro","Croatia","2014","Gross domestic product at market prices","43.431,0"
"Current prices, million euro","Croatia","2015","Gross domestic product at market prices","44.605,9"
"Current prices, million euro","Croatia","2016","Gross domestic product at market prices","46.639,5"
"Current prices, million euro","Croatia","2017","Gross domestic product at market prices","48.989,5"
"Current prices, million euro","Croatia","2018","Gross domestic product at market prices","51.467,8"
"Current prices, million euro","Italy","1975","Gross domestic product at market prices",":"
"Current prices, million euro","Italy","1976","Gross domestic product at market prices",":"
"Current prices, million euro","Italy","1977","Gross domestic product at market prices",":"
"Current prices, million euro","Italy","1978","Gross domestic product at market prices",":"
"Current prices, million euro","Italy","1979","Gross domestic product at market prices",":"
"Current prices, million euro","Italy","1980","Gross domestic product at market prices",":"
"Current prices, million euro","Italy","1981","Gross domestic product at market prices",":"
"Current prices, million euro","Italy","1982","Gross domestic product at market prices",":"
"Current prices, million euro","Italy","1983","Gross domestic product at market prices",":"
"Current prices, million euro","Italy","1984","Gross domestic product at market prices",":"
"Current prices, million euro","Italy","1985","Gross domestic product at market prices",":"
"Current prices, million euro","Italy","1986","Gross domestic product at market prices",":"
"Current prices, million euro","Italy","1987","Gross domestic product at market prices",":"
"Current prices, million euro","Italy","1988","Gross domestic product at market prices",":"
"Current prices, million euro","Italy","1989","Gross domestic product at market prices",":"
"Current prices, million euro","Italy","1990","Gross domestic product at market prices",":"
"Current prices, million euro","Italy","1991","Gross domestic product at market prices",":"
"Current prices, million euro","Italy","1992","Gross domestic product at market prices",":"
"Current prices, million euro","Italy","1993","Gross domestic product at market prices",":"
"Current prices, million euro","Italy","1994","Gross domestic product at market prices",":"
"Current prices, million euro","Italy","1995","Gross domestic product at market prices","898.299,3"
"Current prices, million euro","Italy","1996","Gross domestic product at market prices","1.033.759,7"
"Current prices, million euro","Italy","1997","Gross domestic product at market prices","1.096.302,0"
"Current prices, million euro","Italy","1998","Gross domestic product at market prices","1.134.534,9"
"Current prices, million euro","Italy","1999","Gross domestic product at market prices","1.175.149,5"
"Current prices, million euro","Italy","2000","Gross domestic product at market prices","1.241.512,9"
"Current prices, million euro","Italy","2001","Gross domestic product at market prices","1.304.136,8"
"Current prices, million euro","Italy","2002","Gross domestic product at market prices","1.350.258,9"
"Current prices, million euro","Italy","2003","Gross domestic product at market prices","1.394.693,2"
"Current prices, million euro","Italy","2004","Gross domestic product at market prices","1.452.319,0"
"Current prices, million euro","Italy","2005","Gross domestic product at market prices","1.493.635,3"
"Current prices, million euro","Italy","2006","Gross domestic product at market prices","1.552.686,8"
"Current prices, million euro","Italy","2007","Gross domestic product at market prices","1.614.839,8"
"Current prices, million euro","Italy","2008","Gross domestic product at market prices","1.637.699,4"
"Current prices, million euro","Italy","2009","Gross domestic product at market prices","1.577.255,9"
"Current prices, million euro","Italy","2010","Gross domestic product at market prices","1.611.279,4"
"Current prices, million euro","Italy","2011","Gross domestic product at market prices","1.648.755,8"
"Current prices, million euro","Italy","2012","Gross domestic product at market prices","1.624.358,7"
"Current prices, million euro","Italy","2013","Gross domestic product at market prices","1.612.751,3"
"Current prices, million euro","Italy","2014","Gross domestic product at market prices","1.627.405,6"
"Current prices, million euro","Italy","2015","Gross domestic product at market prices","1.655.355,0"
"Current prices, million euro","Italy","2016","Gross domestic product at market prices","1.695.590,1"
"Current prices, million euro","Italy","2017","Gross domestic product at market prices","1.736.601,8"
"Current prices, million euro","Italy","2018","Gross domestic product at market prices","1.765.421,4"
"Current prices, million euro","Cyprus","1975","Gross domestic product at market prices",":"
"Current prices, million euro","Cyprus","1976","Gross domestic product at market prices",":"
