"NA_ITEM","GEO","TIME","UNIT","SECTOR","Value"
"Government consolidated gross debt","Bulgaria","1997","Million euro","Total economy",":"
"Government consolidated gross debt","Bulgaria","1997","Million euro","General government","9.266,9"
"Government consolidated gross debt","Bulgaria","1998","Million euro","Total economy",":"
"Government consolidated gross debt","Bulgaria","1998","Million euro","General government","9.125,9"
"Government consolidated gross debt","Bulgaria","1999","Million euro","Total economy",":"
"Government consolidated gross debt","Bulgaria","1999","Million euro","General government","9.647,5"
"Government consolidated gross debt","Bulgaria","2000","Million euro","Total economy",":"
"Government consolidated gross debt","Bulgaria","2000","Million euro","General government","10.168,5"
"Government consolidated gross debt","Bulgaria","2001","Million euro","Total economy",":"
"Government consolidated gross debt","Bulgaria","2001","Million euro","General government","10.269,8"
"Government consolidated gross debt","Bulgaria","2002","Million euro","Total economy",":"
"Government consolidated gross debt","Bulgaria","2002","Million euro","General government","8.890,2"
"Government consolidated gross debt","Bulgaria","2003","Million euro","Total economy",":"
"Government consolidated gross debt","Bulgaria","2003","Million euro","General government","8.126,5"
"Government consolidated gross debt","Bulgaria","2004","Million euro","Total economy",":"
"Government consolidated gross debt","Bulgaria","2004","Million euro","General government","7.526,2"
"Government consolidated gross debt","Bulgaria","2005","Million euro","Total economy",":"
"Government consolidated gross debt","Bulgaria","2005","Million euro","General government","6.388,6"
"Government consolidated gross debt","Bulgaria","2006","Million euro","Total economy",":"
"Government consolidated gross debt","Bulgaria","2006","Million euro","General government","5.721,0"
"Government consolidated gross debt","Bulgaria","2007","Million euro","Total economy",":"
"Government consolidated gross debt","Bulgaria","2007","Million euro","General government","5.296,9"
"Government consolidated gross debt","Bulgaria","2008","Million euro","Total economy",":"
"Government consolidated gross debt","Bulgaria","2008","Million euro","General government","4.847,5"
"Government consolidated gross debt","Bulgaria","2009","Million euro","Total economy",":"
"Government consolidated gross debt","Bulgaria","2009","Million euro","General government","5.111,7"
"Government consolidated gross debt","Bulgaria","2010","Million euro","Total economy",":"
"Government consolidated gross debt","Bulgaria","2010","Million euro","General government","5.856,1"
"Government consolidated gross debt","Bulgaria","2011","Million euro","Total economy",":"
"Government consolidated gross debt","Bulgaria","2011","Million euro","General government","6.284,2"
"Government consolidated gross debt","Bulgaria","2012","Million euro","Total economy",":"
"Government consolidated gross debt","Bulgaria","2012","Million euro","General government","7.004,9"
"Government consolidated gross debt","Bulgaria","2013","Million euro","Total economy",":"
"Government consolidated gross debt","Bulgaria","2013","Million euro","General government","7.147,0"
"Government consolidated gross debt","Bulgaria","2014","Million euro","Total economy",":"
"Government consolidated gross debt","Bulgaria","2014","Million euro","General government","11.618,5"
"Government consolidated gross debt","Bulgaria","2015","Million euro","Total economy",":"
"Government consolidated gross debt","Bulgaria","2015","Million euro","General government","11.871,0"
"Government consolidated gross debt","Bulgaria","2016","Million euro","Total economy",":"
"Government consolidated gross debt","Bulgaria","2016","Million euro","General government","14.243,9"
"Government consolidated gross debt","Bulgaria","2017","Million euro","Total economy",":"
"Government consolidated gross debt","Bulgaria","2017","Million euro","General government","13.244,8"
"Government consolidated gross debt","Bulgaria","2018","Million euro","Total economy",":"
"Government consolidated gross debt","Bulgaria","2018","Million euro","General government","12.491,0"
"Government consolidated gross debt","Czechia","1995","Million euro","Total economy",":"
"Government consolidated gross debt","Czechia","1995","Million euro","General government","6.199,8"
"Government consolidated gross debt","Czechia","1996","Million euro","Total economy",":"
"Government consolidated gross debt","Czechia","1996","Million euro","General government","6.183,8"
"Government consolidated gross debt","Czechia","1997","Million euro","Total economy",":"
"Government consolidated gross debt","Czechia","1997","Million euro","General government","6.320,3"
"Government consolidated gross debt","Czechia","1998","Million euro","Total economy",":"
"Government consolidated gross debt","Czechia","1998","Million euro","General government","8.551,9"
"Government consolidated gross debt","Czechia","1999","Million euro","Total economy",":"
"Government consolidated gross debt","Czechia","1999","Million euro","General government","9.475,2"
"Government consolidated gross debt","Czechia","2000","Million euro","Total economy",":"
"Government consolidated gross debt","Czechia","2000","Million euro","General government","11.567,8"
"Government consolidated gross debt","Czechia","2001","Million euro","Total economy",":"
"Government consolidated gross debt","Czechia","2001","Million euro","General government","18.322,2"
"Government consolidated gross debt","Czechia","2002","Million euro","Total economy",":"
"Government consolidated gross debt","Czechia","2002","Million euro","General government","22.013,9"
"Government consolidated gross debt","Czechia","2003","Million euro","Total economy",":"
"Government consolidated gross debt","Czechia","2003","Million euro","General government","24.540,2"
"Government consolidated gross debt","Czechia","2004","Million euro","Total economy",":"
"Government consolidated gross debt","Czechia","2004","Million euro","General government","28.681,7"
"Government consolidated gross debt","Czechia","2005","Million euro","Total economy",":"
"Government consolidated gross debt","Czechia","2005","Million euro","General government","31.390,0"
"Government consolidated gross debt","Czechia","2006","Million euro","Total economy",":"
"Government consolidated gross debt","Czechia","2006","Million euro","General government","35.406,7"
"Government consolidated gross debt","Czechia","2007","Million euro","Total economy",":"
"Government consolidated gross debt","Czechia","2007","Million euro","General government","39.608,1"
"Government consolidated gross debt","Czechia","2008","Million euro","Total economy",":"
"Government consolidated gross debt","Czechia","2008","Million euro","General government","42.300,2"
"Government consolidated gross debt","Czechia","2009","Million euro","Total economy",":"
"Government consolidated gross debt","Czechia","2009","Million euro","General government","49.826,8"
"Government consolidated gross debt","Czechia","2010","Million euro","Total economy",":"
"Government consolidated gross debt","Czechia","2010","Million euro","General government","59.062,5"
"Government consolidated gross debt","Czechia","2011","Million euro","Total economy",":"
"Government consolidated gross debt","Czechia","2011","Million euro","General government","62.298,5"
"Government consolidated gross debt","Czechia","2012","Million euro","Total economy",":"
"Government consolidated gross debt","Czechia","2012","Million euro","General government","71.783,6"
"Government consolidated gross debt","Czechia","2013","Million euro","Total economy",":"
"Government consolidated gross debt","Czechia","2013","Million euro","General government","67.102,2"
"Government consolidated gross debt","Czechia","2014","Million euro","Total economy",":"
"Government consolidated gross debt","Czechia","2014","Million euro","General government","65.588,5"
"Government consolidated gross debt","Czechia","2015","Million euro","Total economy",":"
"Government consolidated gross debt","Czechia","2015","Million euro","General government","67.951,6"
"Government consolidated gross debt","Czechia","2016","Million euro","Total economy",":"
"Government consolidated gross debt","Czechia","2016","Million euro","General government","64.945,2"
"Government consolidated gross debt","Czechia","2017","Million euro","Total economy",":"
"Government consolidated gross debt","Czechia","2017","Million euro","General government","68.515,1"
"Government consolidated gross debt","Czechia","2018","Million euro","Total economy",":"
"Government consolidated gross debt","Czechia","2018","Million euro","General government","67.449,7"
"Government consolidated gross debt","Denmark","1995","Million euro","Total economy",":"
"Government consolidated gross debt","Denmark","1995","Million euro","General government",":"
"Government consolidated gross debt","Denmark","1996","Million euro","Total economy",":"
"Government consolidated gross debt","Denmark","1996","Million euro","General government",":"
"Government consolidated gross debt","Denmark","1997","Million euro","Total economy",":"
"Government consolidated gross debt","Denmark","1997","Million euro","General government",":"
"Government consolidated gross debt","Denmark","1998","Million euro","Total economy",":"
"Government consolidated gross debt","Denmark","1998","Million euro","General government",":"
"Government consolidated gross debt","Denmark","1999","Million euro","Total economy",":"
"Government consolidated gross debt","Denmark","1999","Million euro","General government",":"
"Government consolidated gross debt","Denmark","2000","Million euro","Total economy",":"
"Government consolidated gross debt","Denmark","2000","Million euro","General government","93.084,0"
"Government consolidated gross debt","Denmark","2001","Million euro","Total economy",":"
"Government consolidated gross debt","Denmark","2001","Million euro","General government","89.464,7"
"Government consolidated gross debt","Denmark","2002","Million euro","Total economy",":"
"Government consolidated gross debt","Denmark","2002","Million euro","General government","93.174,5"
"Government consolidated gross debt","Denmark","2003","Million euro","Total economy",":"
"Government consolidated gross debt","Denmark","2003","Million euro","General government","89.061,4"
"Government consolidated gross debt","Denmark","2004","Million euro","Total economy",":"
"Government consolidated gross debt","Denmark","2004","Million euro","General government","89.394,7"
"Government consolidated gross debt","Denmark","2005","Million euro","Total economy",":"
"Government consolidated gross debt","Denmark","2005","Million euro","General government","79.532,5"
"Government consolidated gross debt","Denmark","2006","Million euro","Total economy",":"
"Government consolidated gross debt","Denmark","2006","Million euro","General government","71.183,3"
"Government consolidated gross debt","Denmark","2007","Million euro","Total economy",":"
"Government consolidated gross debt","Denmark","2007","Million euro","General government","63.755,0"
"Government consolidated gross debt","Denmark","2008","Million euro","Total economy",":"
"Government consolidated gross debt","Denmark","2008","Million euro","General government","80.547,5"
"Government consolidated gross debt","Denmark","2009","Million euro","Total economy",":"
"Government consolidated gross debt","Denmark","2009","Million euro","General government","92.986,6"
"Government consolidated gross debt","Denmark","2010","Million euro","Total economy",":"
"Government consolidated gross debt","Denmark","2010","Million euro","General government","103.472,9"
"Government consolidated gross debt","Denmark","2011","Million euro","Total economy",":"
"Government consolidated gross debt","Denmark","2011","Million euro","General government","114.452,4"
"Government consolidated gross debt","Denmark","2012","Million euro","Total economy",":"
"Government consolidated gross debt","Denmark","2012","Million euro","General government","114.025,7"
"Government consolidated gross debt","Denmark","2013","Million euro","Total economy",":"
"Government consolidated gross debt","Denmark","2013","Million euro","General government","113.943,4"
"Government consolidated gross debt","Denmark","2014","Million euro","Total economy",":"
"Government consolidated gross debt","Denmark","2014","Million euro","General government","117.801,4"
"Government consolidated gross debt","Denmark","2015","Million euro","Total economy",":"
"Government consolidated gross debt","Denmark","2015","Million euro","General government","108.532,5"
"Government consolidated gross debt","Denmark","2016","Million euro","Total economy",":"
"Government consolidated gross debt","Denmark","2016","Million euro","General government","105.083,1"
"Government consolidated gross debt","Denmark","2017","Million euro","Total economy",":"
"Government consolidated gross debt","Denmark","2017","Million euro","General government","103.810,9"
"Government consolidated gross debt","Denmark","2018","Million euro","Total economy",":"
"Government consolidated gross debt","Denmark","2018","Million euro","General government","101.434,4"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","1995","Million euro","Total economy",":"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","1995","Million euro","General government","1.079.862,9"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","1996","Million euro","Total economy",":"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","1996","Million euro","General government","1.115.746,5"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","1997","Million euro","Total economy",":"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","1997","Million euro","General government","1.142.494,1"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","1998","Million euro","Total economy",":"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","1998","Million euro","General government","1.199.283,7"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","1999","Million euro","Total economy",":"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","1999","Million euro","General government","1.238.568,1"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2000","Million euro","Total economy",":"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2000","Million euro","General government","1.245.785,0"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2001","Million euro","Total economy",":"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2001","Million euro","General government","1.258.749,0"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2002","Million euro","Total economy",":"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2002","Million euro","General government","1.312.446,6"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2003","Million euro","Total economy",":"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2003","Million euro","General government","1.400.260,9"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2004","Million euro","Total economy",":"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2004","Million euro","General government","1.470.586,1"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2005","Million euro","Total economy",":"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2005","Million euro","General government","1.541.399,9"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2006","Million euro","Total economy",":"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2006","Million euro","General government","1.591.334,4"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2007","Million euro","Total economy",":"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2007","Million euro","General government","1.600.016,2"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2008","Million euro","Total economy",":"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2008","Million euro","General government","1.669.035,0"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2009","Million euro","Total economy",":"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2009","Million euro","General government","1.785.684,4"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2010","Million euro","Total economy",":"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2010","Million euro","General government","2.110.668,5"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2011","Million euro","Total economy",":"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2011","Million euro","General government","2.147.549,3"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2012","Million euro","Total economy",":"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2012","Million euro","General government","2.225.203,8"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2013","Million euro","Total economy",":"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2013","Million euro","General government","2.210.738,9"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2014","Million euro","Total economy",":"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2014","Million euro","General government","2.212.280,4"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2015","Million euro","Total economy",":"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2015","Million euro","General government","2.181.971,9"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2016","Million euro","Total economy",":"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2016","Million euro","General government","2.165.891,1"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2017","Million euro","Total economy",":"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2017","Million euro","General government","2.115.396,7"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2018","Million euro","Total economy",":"
"Government consolidated gross debt","Germany (until 1990 former territory of the FRG)","2018","Million euro","General government","2.063.171,5"
"Government consolidated gross debt","Estonia","1995","Million euro","Total economy",":"
"Government consolidated gross debt","Estonia","1995","Million euro","General government","236,2"
"Government consolidated gross debt","Estonia","1996","Million euro","Total economy",":"
"Government consolidated gross debt","Estonia","1996","Million euro","General government","276,7"
"Government consolidated gross debt","Estonia","1997","Million euro","Total economy",":"
"Government consolidated gross debt","Estonia","1997","Million euro","General government","311,2"
"Government consolidated gross debt","Estonia","1998","Million euro","Total economy",":"
"Government consolidated gross debt","Estonia","1998","Million euro","General government","302,3"
"Government consolidated gross debt","Estonia","1999","Million euro","Total economy",":"
"Government consolidated gross debt","Estonia","1999","Million euro","General government","348,0"
"Government consolidated gross debt","Estonia","2000","Million euro","Total economy",":"
"Government consolidated gross debt","Estonia","2000","Million euro","General government","315,6"
"Government consolidated gross debt","Estonia","2001","Million euro","Total economy",":"
"Government consolidated gross debt","Estonia","2001","Million euro","General government","333,4"
"Government consolidated gross debt","Estonia","2002","Million euro","Total economy",":"
"Government consolidated gross debt","Estonia","2002","Million euro","General government","442,9"
"Government consolidated gross debt","Estonia","2003","Million euro","Total economy",":"
"Government consolidated gross debt","Estonia","2003","Million euro","General government","489,7"
"Government consolidated gross debt","Estonia","2004","Million euro","Total economy",":"
"Government consolidated gross debt","Estonia","2004","Million euro","General government","491,4"
"Government consolidated gross debt","Estonia","2005","Million euro","Total economy",":"
"Government consolidated gross debt","Estonia","2005","Million euro","General government","512,3"
"Government consolidated gross debt","Estonia","2006","Million euro","Total economy",":"
"Government consolidated gross debt","Estonia","2006","Million euro","General government","595,5"
"Government consolidated gross debt","Estonia","2007","Million euro","Total economy",":"
"Government consolidated gross debt","Estonia","2007","Million euro","General government","595,2"
"Government consolidated gross debt","Estonia","2008","Million euro","Total economy",":"
"Government consolidated gross debt","Estonia","2008","Million euro","General government","741,1"
"Government consolidated gross debt","Estonia","2009","Million euro","Total economy",":"
"Government consolidated gross debt","Estonia","2009","Million euro","General government","995,6"
"Government consolidated gross debt","Estonia","2010","Million euro","Total economy",":"
"Government consolidated gross debt","Estonia","2010","Million euro","General government","964,4"
"Government consolidated gross debt","Estonia","2011","Million euro","Total economy",":"
"Government consolidated gross debt","Estonia","2011","Million euro","General government","1.011,1"
"Government consolidated gross debt","Estonia","2012","Million euro","Total economy",":"
"Government consolidated gross debt","Estonia","2012","Million euro","General government","1.745,5"
"Government consolidated gross debt","Estonia","2013","Million euro","Total economy",":"
"Government consolidated gross debt","Estonia","2013","Million euro","General government","1.923,7"
"Government consolidated gross debt","Estonia","2014","Million euro","Total economy",":"
"Government consolidated gross debt","Estonia","2014","Million euro","General government","2.108,4"
"Government consolidated gross debt","Estonia","2015","Million euro","Total economy",":"
"Government consolidated gross debt","Estonia","2015","Million euro","General government","2.034,9"
"Government consolidated gross debt","Estonia","2016","Million euro","Total economy",":"
"Government consolidated gross debt","Estonia","2016","Million euro","General government","1.986,8"
"Government consolidated gross debt","Estonia","2017","Million euro","Total economy",":"
"Government consolidated gross debt","Estonia","2017","Million euro","General government","2.176,7"
"Government consolidated gross debt","Estonia","2018","Million euro","Total economy",":"
"Government consolidated gross debt","Estonia","2018","Million euro","General government","2.151,9"
"Government consolidated gross debt","Ireland","1995","Million euro","Total economy",":"
"Government consolidated gross debt","Ireland","1995","Million euro","General government","41.333,3"
"Government consolidated gross debt","Ireland","1996","Million euro","Total economy",":"
"Government consolidated gross debt","Ireland","1996","Million euro","General government","44.446,7"
"Government consolidated gross debt","Ireland","1997","Million euro","Total economy",":"
"Government consolidated gross debt","Ireland","1997","Million euro","General government","43.599,1"
"Government consolidated gross debt","Ireland","1998","Million euro","Total economy",":"
"Government consolidated gross debt","Ireland","1998","Million euro","General government","41.352,7"
"Government consolidated gross debt","Ireland","1999","Million euro","Total economy",":"
"Government consolidated gross debt","Ireland","1999","Million euro","General government","43.212,9"
"Government consolidated gross debt","Ireland","2000","Million euro","Total economy",":"
"Government consolidated gross debt","Ireland","2000","Million euro","General government","39.096,3"
"Government consolidated gross debt","Ireland","2001","Million euro","Total economy",":"
"Government consolidated gross debt","Ireland","2001","Million euro","General government","40.538,4"
"Government consolidated gross debt","Ireland","2002","Million euro","Total economy",":"
"Government consolidated gross debt","Ireland","2002","Million euro","General government","41.538,4"
"Government consolidated gross debt","Ireland","2003","Million euro","Total economy",":"
"Government consolidated gross debt","Ireland","2003","Million euro","General government","43.564,4"
"Government consolidated gross debt","Ireland","2004","Million euro","Total economy",":"
"Government consolidated gross debt","Ireland","2004","Million euro","General government","44.055,8"
"Government consolidated gross debt","Ireland","2005","Million euro","Total economy",":"
"Government consolidated gross debt","Ireland","2005","Million euro","General government","44.379,0"
"Government consolidated gross debt","Ireland","2006","Million euro","Total economy",":"
"Government consolidated gross debt","Ireland","2006","Million euro","General government","43.692,5"
"Government consolidated gross debt","Ireland","2007","Million euro","Total economy",":"
"Government consolidated gross debt","Ireland","2007","Million euro","General government","47.147,8"
"Government consolidated gross debt","Ireland","2008","Million euro","Total economy",":"
"Government consolidated gross debt","Ireland","2008","Million euro","General government","79.621,0"
"Government consolidated gross debt","Ireland","2009","Million euro","Total economy",":"
"Government consolidated gross debt","Ireland","2009","Million euro","General government","104.685,5"
"Government consolidated gross debt","Ireland","2010","Million euro","Total economy",":"
"Government consolidated gross debt","Ireland","2010","Million euro","General government","144.229,9"
"Government consolidated gross debt","Ireland","2011","Million euro","Total economy",":"
"Government consolidated gross debt","Ireland","2011","Million euro","General government","189.726,8"
"Government consolidated gross debt","Ireland","2012","Million euro","Total economy",":"
"Government consolidated gross debt","Ireland","2012","Million euro","General government","210.022,3"
"Government consolidated gross debt","Ireland","2013","Million euro","Total economy",":"
"Government consolidated gross debt","Ireland","2013","Million euro","General government","215.337,8"
"Government consolidated gross debt","Ireland","2014","Million euro","Total economy",":"
"Government consolidated gross debt","Ireland","2014","Million euro","General government","203.364,5"
"Government consolidated gross debt","Ireland","2015","Million euro","Total economy",":"
"Government consolidated gross debt","Ireland","2015","Million euro","General government","201.635,1"
"Government consolidated gross debt","Ireland","2016","Million euro","Total economy",":"
"Government consolidated gross debt","Ireland","2016","Million euro","General government","200.710,5"
"Government consolidated gross debt","Ireland","2017","Million euro","Total economy",":"
"Government consolidated gross debt","Ireland","2017","Million euro","General government","201.367,8"
"Government consolidated gross debt","Ireland","2018","Million euro","Total economy",":"
"Government consolidated gross debt","Ireland","2018","Million euro","General government","206.214,4"
"Government consolidated gross debt","Greece","1995","Million euro","Total economy",":"
"Government consolidated gross debt","Greece","1995","Million euro","General government","100.752,8"
"Government consolidated gross debt","Greece","1996","Million euro","Total economy",":"
"Government consolidated gross debt","Greece","1996","Million euro","General government","114.954,8"
"Government consolidated gross debt","Greece","1997","Million euro","Total economy",":"
"Government consolidated gross debt","Greece","1997","Million euro","General government","124.579,9"
"Government consolidated gross debt","Greece","1998","Million euro","Total economy",":"
"Government consolidated gross debt","Greece","1998","Million euro","General government","126.131,3"
"Government consolidated gross debt","Greece","1999","Million euro","Total economy",":"
"Government consolidated gross debt","Greece","1999","Million euro","General government","136.512,5"
"Government consolidated gross debt","Greece","2000","Million euro","Total economy",":"
"Government consolidated gross debt","Greece","2000","Million euro","General government","148.217,0"
"Government consolidated gross debt","Greece","2001","Million euro","Total economy",":"
"Government consolidated gross debt","Greece","2001","Million euro","General government","162.971,0"
"Government consolidated gross debt","Greece","2002","Million euro","Total economy",":"
"Government consolidated gross debt","Greece","2002","Million euro","General government","171.410,0"
"Government consolidated gross debt","Greece","2003","Million euro","Total economy",":"
"Government consolidated gross debt","Greece","2003","Million euro","General government","181.510,0"
"Government consolidated gross debt","Greece","2004","Million euro","Total economy",":"
"Government consolidated gross debt","Greece","2004","Million euro","General government","199.282,0"
"Government consolidated gross debt","Greece","2005","Million euro","Total economy",":"
"Government consolidated gross debt","Greece","2005","Million euro","General government","213.976,0"
"Government consolidated gross debt","Greece","2006","Million euro","Total economy",":"
"Government consolidated gross debt","Greece","2006","Million euro","General government","225.730,0"
"Government consolidated gross debt","Greece","2007","Million euro","Total economy",":"
"Government consolidated gross debt","Greece","2007","Million euro","General government","239.915,0"
"Government consolidated gross debt","Greece","2008","Million euro","Total economy",":"
"Government consolidated gross debt","Greece","2008","Million euro","General government","264.775,0"
"Government consolidated gross debt","Greece","2009","Million euro","Total economy",":"
"Government consolidated gross debt","Greece","2009","Million euro","General government","301.062,0"
"Government consolidated gross debt","Greece","2010","Million euro","Total economy",":"
"Government consolidated gross debt","Greece","2010","Million euro","General government","330.570,0"
"Government consolidated gross debt","Greece","2011","Million euro","Total economy",":"
"Government consolidated gross debt","Greece","2011","Million euro","General government","356.235,0"
"Government consolidated gross debt","Greece","2012","Million euro","Total economy",":"
"Government consolidated gross debt","Greece","2012","Million euro","General government","305.085,0"
"Government consolidated gross debt","Greece","2013","Million euro","Total economy",":"
"Government consolidated gross debt","Greece","2013","Million euro","General government","320.498,0"
"Government consolidated gross debt","Greece","2014","Million euro","Total economy",":"
"Government consolidated gross debt","Greece","2014","Million euro","General government","319.629,0"
"Government consolidated gross debt","Greece","2015","Million euro","Total economy",":"
"Government consolidated gross debt","Greece","2015","Million euro","General government","311.729,0"
"Government consolidated gross debt","Greece","2016","Million euro","Total economy",":"
"Government consolidated gross debt","Greece","2016","Million euro","General government","315.010,0"
"Government consolidated gross debt","Greece","2017","Million euro","Total economy",":"
"Government consolidated gross debt","Greece","2017","Million euro","General government","317.485,0"
"Government consolidated gross debt","Greece","2018","Million euro","Total economy",":"
"Government consolidated gross debt","Greece","2018","Million euro","General government","334.573,0"
"Government consolidated gross debt","Spain","1995","Million euro","Total economy",":"
"Government consolidated gross debt","Spain","1995","Million euro","General government","295.603,7"
"Government consolidated gross debt","Spain","1996","Million euro","Total economy",":"
"Government consolidated gross debt","Spain","1996","Million euro","General government","324.301,0"
"Government consolidated gross debt","Spain","1997","Million euro","Total economy",":"
"Government consolidated gross debt","Spain","1997","Million euro","General government","331.629,9"
"Government consolidated gross debt","Spain","1998","Million euro","Total economy",":"
"Government consolidated gross debt","Spain","1998","Million euro","General government","346.417,0"
"Government consolidated gross debt","Spain","1999","Million euro","Total economy",":"
"Government consolidated gross debt","Spain","1999","Million euro","General government","362.223,0"
"Government consolidated gross debt","Spain","2000","Million euro","Total economy",":"
"Government consolidated gross debt","Spain","2000","Million euro","General government","374.557,0"
"Government consolidated gross debt","Spain","2001","Million euro","Total economy",":"
"Government consolidated gross debt","Spain","2001","Million euro","General government","378.883,0"
"Government consolidated gross debt","Spain","2002","Million euro","Total economy",":"
"Government consolidated gross debt","Spain","2002","Million euro","General government","384.145,0"
"Government consolidated gross debt","Spain","2003","Million euro","Total economy",":"
"Government consolidated gross debt","Spain","2003","Million euro","General government","382.775,0"
"Government consolidated gross debt","Spain","2004","Million euro","Total economy",":"
"Government consolidated gross debt","Spain","2004","Million euro","General government","389.888,0"
"Government consolidated gross debt","Spain","2005","Million euro","Total economy",":"
"Government consolidated gross debt","Spain","2005","Million euro","General government","393.479,0"
"Government consolidated gross debt","Spain","2006","Million euro","Total economy",":"
"Government consolidated gross debt","Spain","2006","Million euro","General government","392.132,0"
"Government consolidated gross debt","Spain","2007","Million euro","Total economy",":"
"Government consolidated gross debt","Spain","2007","Million euro","General government","384.662,0"
"Government consolidated gross debt","Spain","2008","Million euro","Total economy",":"
"Government consolidated gross debt","Spain","2008","Million euro","General government","440.621,0"
"Government consolidated gross debt","Spain","2009","Million euro","Total economy",":"
"Government consolidated gross debt","Spain","2009","Million euro","General government","569.535,0"
"Government consolidated gross debt","Spain","2010","Million euro","Total economy",":"
"Government consolidated gross debt","Spain","2010","Million euro","General government","650.079,0"
"Government consolidated gross debt","Spain","2011","Million euro","Total economy",":"
"Government consolidated gross debt","Spain","2011","Million euro","General government","744.323,0"
"Government consolidated gross debt","Spain","2012","Million euro","Total economy",":"
"Government consolidated gross debt","Spain","2012","Million euro","General government","891.502,0"
"Government consolidated gross debt","Spain","2013","Million euro","Total economy",":"
"Government consolidated gross debt","Spain","2013","Million euro","General government","979.031,0"
"Government consolidated gross debt","Spain","2014","Million euro","Total economy",":"
"Government consolidated gross debt","Spain","2014","Million euro","General government","1.041.624,0"
"Government consolidated gross debt","Spain","2015","Million euro","Total economy",":"
"Government consolidated gross debt","Spain","2015","Million euro","General government","1.073.934,0"
"Government consolidated gross debt","Spain","2016","Million euro","Total economy",":"
"Government consolidated gross debt","Spain","2016","Million euro","General government","1.107.220,0"
"Government consolidated gross debt","Spain","2017","Million euro","Total economy",":"
"Government consolidated gross debt","Spain","2017","Million euro","General government","1.144.425,0"
"Government consolidated gross debt","Spain","2018","Million euro","Total economy",":"
"Government consolidated gross debt","Spain","2018","Million euro","General government","1.173.107,0"
"Government consolidated gross debt","France","1995","Million euro","Total economy",":"
"Government consolidated gross debt","France","1995","Million euro","General government","696.236,6"
"Government consolidated gross debt","France","1996","Million euro","Total economy",":"
"Government consolidated gross debt","France","1996","Million euro","General government","751.069,6"
"Government consolidated gross debt","France","1997","Million euro","Total economy",":"
"Government consolidated gross debt","France","1997","Million euro","General government","787.774,8"
"Government consolidated gross debt","France","1998","Million euro","Total economy",":"
"Government consolidated gross debt","France","1998","Million euro","General government","829.353,0"
"Government consolidated gross debt","France","1999","Million euro","Total economy",":"
"Government consolidated gross debt","France","1999","Million euro","General government","847.555,0"
"Government consolidated gross debt","France","2000","Million euro","Total economy",":"
"Government consolidated gross debt","France","2000","Million euro","General government","870.626,0"
